User,Branch,URL
ab,ab/update-npm-token,https://github.com/OpenGov/seamstress-design/tree/ab/update-npm-token
boniface,boniface-psp-demo,https://github.com/OpenGov/seamstress-design/tree/boniface-psp-demo
gabriela-coleman,GC-command-center,https://github.com/OpenGov/seamstress-design/tree/GC-command-center
gabriela-coleman,GC/CommandCenter,https://github.com/OpenGov/seamstress-design/tree/GC/CommandCenter
gabriela-coleman,GC/UnifiedPortal,https://github.com/OpenGov/seamstress-design/tree/GC/UnifiedPortal
gabriela-coleman,gabriela-coleman-delightlab,https://github.com/OpenGov/seamstress-design/tree/gabriela-coleman-delightlab
gabriela-coleman,gabriela-coleman-unified-publicportal,https://github.com/OpenGov/seamstress-design/tree/gabriela-coleman-unified-publicportal
gabriela-coleman,ub-gabriela-coleman,https://github.com/OpenGov/seamstress-design/tree/ub-gabriela-coleman
je,je/command-center-vision,https://github.com/OpenGov/seamstress-design/tree/je/command-center-vision
jh,seamstress-test-jh,https://github.com/OpenGov/seamstress-design/tree/seamstress-test-jh
joanne,joanne-ai-contracts,https://github.com/OpenGov/seamstress-design/tree/joanne-ai-contracts
maintenance,CLOUD-6171-seamstress-ephemeral-env-requirements,https://github.com/OpenGov/seamstress-design/tree/CLOUD-6171-seamstress-ephemeral-env-requirements
maintenance,add-all-platform-navigation-items,https://github.com/OpenGov/seamstress-design/tree/add-all-platform-navigation-items
maintenance,cleanup-deployment-configs,https://github.com/OpenGov/seamstress-design/tree/cleanup-deployment-configs
maintenance,fix-base-path-for-private-repo,https://github.com/OpenGov/seamstress-design/tree/fix-base-path-for-private-repo
maintenance,fix-github-token-permissions,https://github.com/OpenGov/seamstress-design/tree/fix-github-token-permissions
maintenance,fix-npm-registry-config,https://github.com/OpenGov/seamstress-design/tree/fix-npm-registry-config
maintenance,refactor/comprehensive-code-cleanup,https://github.com/OpenGov/seamstress-design/tree/refactor/comprehensive-code-cleanup
ojas,branch-ojas,https://github.com/OpenGov/seamstress-design/tree/branch-ojas
rd,rd-psp-prototype,https://github.com/OpenGov/seamstress-design/tree/rd-psp-prototype
renovate-bot,renovate/actions-checkout-6.x,https://github.com/OpenGov/seamstress-design/tree/renovate/actions-checkout-6.x
renovate-bot,renovate/actions-setup-node-6.x,https://github.com/OpenGov/seamstress-design/tree/renovate/actions-setup-node-6.x
renovate-bot,renovate/auth0-auth0-react-2.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/auth0-auth0-react-2.x-lockfile
renovate-bot,renovate/configure,https://github.com/OpenGov/seamstress-design/tree/renovate/configure
renovate-bot,renovate/dompurify-3.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/dompurify-3.x-lockfile
renovate-bot,renovate/eslint-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/eslint-monorepo
renovate-bot,renovate/eslint-plugin-react-refresh-0.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/eslint-plugin-react-refresh-0.x-lockfile
renovate-bot,renovate/figma-code-connect-1.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/figma-code-connect-1.x-lockfile
renovate-bot,renovate/framer-motion-12.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/framer-motion-12.x-lockfile
renovate-bot,renovate/lodash-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/lodash-monorepo
renovate-bot,renovate/major-github-artifact-actions,https://github.com/OpenGov/seamstress-design/tree/renovate/major-github-artifact-actions
renovate-bot,renovate/material-ui-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/material-ui-monorepo
renovate-bot,renovate/opengov-capital-mui-theme-37.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-capital-mui-theme-37.x-lockfile
renovate-bot,renovate/opengov-components-ai-patterns-37.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-components-ai-patterns-37.x-lockfile
renovate-bot,renovate/opengov-components-nav-bar-37.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-components-nav-bar-37.x-lockfile
renovate-bot,renovate/opengov-gha-container-metadata-1.x,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-gha-container-metadata-1.x
renovate-bot,renovate/opengov-gha-container-registry-setup-3.x,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-gha-container-registry-setup-3.x
renovate-bot,renovate/opengov-react-capital-assets-37.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/opengov-react-capital-assets-37.x-lockfile
renovate-bot,renovate/recharts-3.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/recharts-3.x-lockfile
renovate-bot,renovate/storybook-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/storybook-monorepo
renovate-bot,renovate/storybook-test-runner-0.x,https://github.com/OpenGov/seamstress-design/tree/renovate/storybook-test-runner-0.x
renovate-bot,renovate/storybook-testing-library-0.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/storybook-testing-library-0.x-lockfile
renovate-bot,renovate/testing-library-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/testing-library-monorepo
renovate-bot,renovate/tiptap-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/tiptap-monorepo
renovate-bot,renovate/typescript-5.x,https://github.com/OpenGov/seamstress-design/tree/renovate/typescript-5.x
renovate-bot,renovate/typescript-eslint-monorepo,https://github.com/OpenGov/seamstress-design/tree/renovate/typescript-eslint-monorepo
renovate-bot,renovate/vite-7.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/vite-7.x-lockfile
renovate-bot,renovate/vitejs-plugin-react-5.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/vitejs-plugin-react-5.x-lockfile
renovate-bot,renovate/zustand-5.x-lockfile,https://github.com/OpenGov/seamstress-design/tree/renovate/zustand-5.x-lockfile
system,gh-pages,https://github.com/OpenGov/seamstress-design/tree/gh-pages
system,github-pages-deployment,https://github.com/OpenGov/seamstress-design/tree/github-pages-deployment
system,main,https://github.com/OpenGov/seamstress-design/tree/main
system,opencode-migration,https://github.com/OpenGov/seamstress-design/tree/opencode-migration
system,platform-navigation,https://github.com/OpenGov/seamstress-design/tree/platform-navigation
system,use-gh-pages-branch-deploy,https://github.com/OpenGov/seamstress-design/tree/use-gh-pages-branch-deploy
uncategorized,utility-billing-number-format,https://github.com/OpenGov/seamstress-design/tree/utility-billing-number-format
various,feature/agent-studio-navigation-fixes,https://github.com/OpenGov/seamstress-design/tree/feature/agent-studio-navigation-fixes
various,feature/netlify-preview-deployments,https://github.com/OpenGov/seamstress-design/tree/feature/netlify-preview-deployments
various,feature/optimize-local-skills,https://github.com/OpenGov/seamstress-design/tree/feature/optimize-local-skills
various,fix/docker-build-non-blocking,https://github.com/OpenGov/seamstress-design/tree/fix/docker-build-non-blocking
various,fix/home-page-layout-and-nav-highlighting,https://github.com/OpenGov/seamstress-design/tree/fix/home-page-layout-and-nav-highlighting
various,fix/lockfile-sync-main,https://github.com/OpenGov/seamstress-design/tree/fix/lockfile-sync-main
vlachake,vlachake/branding-controls-settings,https://github.com/OpenGov/seamstress-design/tree/vlachake/branding-controls-settings
